user_id,prenom,nom,genre,email,telephone,type_compteur,numero_compteur,zone_id,region,commune,type_zone,date_inscription,conso_moyenne_jour,objectif_mensuel,actif
37,Bineta,Badji,F,mcisse@orange.sn,221768307711,DPP,SN09818922,9,Diourbel,Touba,urbain,2024-03-16,7.45,150,True
38,Youssouf,Kébé,M,mcisse@orange.sn,221775177592,DPP,SN11854241,11,Saint-Louis,Saint-Louis,urbain,2025-01-16,7.71,150,True
39,Adja,Toure,F,adjatoure@gmail.com,221708658963,DPP,SN08223940,8,Diourbel,Diourbel,urbain,2026-02-01,6.99,150,True
40,Souleymane,Diouf,M,souleymanediouf@orange.sn,221751852962,DPP,SN04361256,4,Dakar,Rufisque,urbain,2025-02-21,7.14,150,True
41,Moustapha,Sène,M,moustapha.sene@gmail.com,221759420262,DPP,SN01236771,1,Dakar,Dakar Plateau,urbain,2025-10-04,4.11,150,True
42,Rama,Traoré,F,mcisse@orange.sn,221755520388,DPP,SN06331998,6,Thiès,Mbour,urbain,2025-04-23,4.94,150,True
43,Lamine,Toure,M,mcisse@orange.sn,221701442349,DPP,SN03777138,3,Dakar,Guédiawaye,urbain,2024-05-25,6.2,150,True
44,Marème,Sow,F,mareme.sow82@yahoo.fr,221767890057,DPP,SN08717494,8,Diourbel,Diourbel,urbain,2024-05-19,7.14,150,True
45,Adja,Gueye,F,mcisse@orange.sn,221752271307,DPP,SN04431707,4,Dakar,Rufisque,urbain,2025-10-09,6.64,150,False
46,Moussa,Dieng,M,moussa.dieng79@orange.sn,221776066585,DPP,SN23976087,23,Sédhiou,Sédhiou,semi_urbain,2024-06-28,3.03,150,True
47,Momar,Ndoye,M,momar.ndoye@orange.sn,221768993909,DPP,SN03814221,3,Dakar,Guédiawaye,urbain,2024-12-28,7.17,150,True
48,Oumou,Sall,F,oumousall@yahoo.fr,221777915147,DPP,SN09964272,9,Diourbel,Touba,urbain,2025-12-26,6.08,150,True
49,Moussa,Ba,M,mcisse@orange.sn,221781629678,DPP,SN02522878,2,Dakar,Pikine,urbain,2024-05-19,5.98,150,False
50,Amadou,Seck,M,amadouseck@hotmail.com,221783411566,DPP,SN13177569,13,Kaolack,Kaolack,urbain,2025-12-16,5.68,150,True
51,Arame,Bâ,F,mcisse@orange.sn,221775860644,DPP,SN19263603,19,Ziguinchor,Ziguinchor,urbain,2024-06-19,6.65,150,True
52,Aissatou,Badji,F,aissatou.badji@yahoo.fr,221762501811,DPP,SN04677219,4,Dakar,Rufisque,urbain,2025-05-02,6.83,150,True
53,Ndèye,Sène,F,mcisse@orange.sn,221752339136,DPP,SN09369776,9,Diourbel,Touba,urbain,2024-03-09,5.91,150,True
54,Marème,Seck,F,mcisse@orange.sn,221754806389,DPP,SN06684597,6,Thiès,Mbour,urbain,2025-11-08,6.06,150,True
55,Moussa,Sylla,M,mcisse@orange.sn,221758989532,DPP,SN09810981,9,Diourbel,Touba,urbain,2025-07-25,5.47,150,True
56,Adja,Samb,F,mcisse@orange.sn,221781945778,DPP,SN03201736,3,Dakar,Guédiawaye,urbain,2025-06-16,4.4,150,True
57,Ndeye,Camara,F,mcisse@orange.sn,221761470166,DPP,SN01711191,1,Dakar,Dakar Plateau,urbain,2025-05-27,5.08,150,True
58,Penda,Niang,F,pniang@yahoo.fr,221768846201,DPP,SN19530176,19,Ziguinchor,Ziguinchor,urbain,2024-06-25,5.71,150,True
59,Penda,Diallo,F,mcisse@orange.sn,221752173039,DPP,SN10118502,10,Diourbel,Mbacké,semi_urbain,2025-01-11,3.77,150,True
60,Lamine,Sylla,M,lsylla@yahoo.fr,221781151113,DPP,SN09873527,9,Diourbel,Touba,urbain,2025-03-06,4.88,150,True
61,Moussa,Faye,M,mfaye@gmail.com,221755311174,DPP,SN09875092,9,Diourbel,Touba,urbain,2025-12-13,4.64,300,True
62,Rama,Sarr,F,ramasarr@orange.sn,221755748601,DPP,SN11894783,11,Saint-Louis,Saint-Louis,urbain,2025-09-06,6.44,150,True
63,Mamadou,Sall,M,msall@outlook.com,221706701422,DPP,SN02276114,2,Dakar,Pikine,urbain,2026-01-21,5.97,150,True
64,Serigne,Samb,M,serigne.samb31@yahoo.fr,221704592164,DPP,SN15841895,15,Louga,Louga,urbain,2025-08-05,7.65,150,True
65,Ibrahima,Dieye,M,ibrahima.dieye@gmail.com,221783533234,DPP,SN13104870,13,Kaolack,Kaolack,urbain,2024-08-22,5.08,250,True
66,Amy,Kébé,F,mcisse@orange.sn,221763634401,DPP,SN09735200,9,Diourbel,Touba,urbain,2025-10-26,7.74,150,True
67,Fatou,Faye,F,ffaye@yahoo.fr,221750521918,DPP,SN09142086,9,Diourbel,Touba,urbain,2025-06-15,7.45,200,True
68,Moustapha,Sy,M,moustaphasy@outlook.com,221758878256,DPP,SN01620164,1,Dakar,Dakar Plateau,urbain,2024-04-04,7.85,150,True
69,Boubacar,Camara,M,mcisse@orange.sn,221755534048,DPP,SN09123897,9,Diourbel,Touba,urbain,2024-09-01,5.95,150,True
70,Arame,Sy,F,aramesy@orange.sn,221775561018,DPP,SN09672891,9,Diourbel,Touba,urbain,2025-04-11,5.97,150,True
71,Astou,Faye,F,mcisse@orange.sn,221761029748,DPP,SN02706896,2,Dakar,Pikine,urbain,2024-03-17,6.78,150,True
72,Baye,Faye,M,mcisse@orange.sn,221776998689,DPP,SN22404148,22,Kédougou,Kédougou,rural,2024-07-25,3.49,250,True
73,Yacine,Dieng,F,mcisse@orange.sn,221767267113,DPP,SN05725526,5,Thiès,Thiès,urbain,2026-02-09,7.98,150,True
74,Omar,Ndiaye,M,ondiaye@gmail.com,221709610221,DPP,SN08680131,8,Diourbel,Diourbel,urbain,2025-03-15,4.77,150,True
75,Adja,Bâ,F,adja.bâ39@outlook.com,221758572642,DPP,SN06345283,6,Thiès,Mbour,urbain,2024-04-07,4.77,150,True
76,Malick,Dia,M,malick.dia66@hotmail.com,221759761868,DPP,SN09256728,9,Diourbel,Touba,urbain,2025-10-03,4.8,150,True
77,Mame,Cisse,F,mame.cisse30@hotmail.com,221755008938,DPP,SN09293874,9,Diourbel,Touba,urbain,2025-12-04,4.19,150,True
78,Marème,Gueye,F,mcisse@orange.sn,221757655764,DPP,SN09923869,9,Diourbel,Touba,urbain,2024-06-12,6.12,150,True
79,Moustapha,Dieng,M,mcisse@orange.sn,221759594114,DPP,SN09880499,9,Diourbel,Touba,urbain,2025-10-31,6.7,150,True
80,Alioune,Fall,M,mcisse@orange.sn,221772557312,DPP,SN09472448,9,Diourbel,Touba,urbain,2024-06-25,5.76,150,False
81,Bineta,Bâ,F,bineta.bâ18@outlook.com,221764625438,DPP,SN09313009,9,Diourbel,Touba,urbain,2025-01-05,4.73,300,True
82,Ousmane,Bâ,M,ousmane.bâ@hotmail.com,221773272542,DPP,SN05794555,5,Thiès,Thiès,urbain,2024-10-18,7.17,150,True
83,Bineta,Bâ,F,mcisse@orange.sn,221750499322,DPP,SN15309638,15,Louga,Louga,urbain,2024-10-12,6.53,150,True
84,Astou,Sall,F,asall@gmail.com,221753766056,DPP,SN09293866,9,Diourbel,Touba,urbain,2025-01-24,6.09,150,True
85,Omar,Dieye,M,mcisse@orange.sn,221781201427,DPP,SN05331631,5,Thiès,Thiès,urbain,2024-12-30,4.96,150,True
86,Khady,Sall,F,khady.sall6@hotmail.com,221707650618,DPP,SN18400369,18,Tambacounda,Tambacounda,urbain,2024-12-04,5.17,200,True
87,Yacine,Kébé,F,mcisse@orange.sn,221708149396,DPP,SN03321827,3,Dakar,Guédiawaye,urbain,2024-09-16,6.3,150,True
88,Awa,Cisse,F,awacisse@gmail.com,221754906981,DPP,SN03813987,3,Dakar,Guédiawaye,urbain,2024-06-10,7.44,150,True
89,Daba,Diallo,F,mcisse@orange.sn,221708169058,DPP,SN10530736,10,Diourbel,Mbacké,semi_urbain,2026-01-20,3.46,150,True
90,Sokhna,Sall,F,ssall@orange.sn,221755969596,DPP,SN11800710,11,Saint-Louis,Saint-Louis,urbain,2026-01-28,6.49,150,True
91,Momar,Faye,M,mfaye@hotmail.com,221709035848,DPP,SN09492952,9,Diourbel,Touba,urbain,2024-06-26,7.76,200,True
92,Rokhaya,Fall,F,rokhaya.fall@gmail.com,221708522948,DPP,SN15537301,15,Louga,Louga,urbain,2024-09-01,5.39,200,True
93,Nogaye,Seck,F,mcisse@orange.sn,221788365840,DPP,SN03935320,3,Dakar,Guédiawaye,urbain,2025-10-23,6.66,150,True
94,Khady,Gueye,F,mcisse@orange.sn,221759099071,DPP,SN01840381,1,Dakar,Dakar Plateau,urbain,2025-02-27,6.35,200,True
95,Babacar,Thiam,M,babacar.thiam@gmail.com,221750156413,DPP,SN09903652,9,Diourbel,Touba,urbain,2024-07-23,5.54,300,True
96,Binta,Fall,F,bfall@orange.sn,221756149084,DPP,SN02669194,2,Dakar,Pikine,urbain,2024-05-04,6.67,150,True
97,Moustapha,Ndoye,M,mcisse@orange.sn,221758535004,DPP,SN09552991,9,Diourbel,Touba,urbain,2024-09-03,6.07,150,True
98,Adja,Diallo,F,adiallo@hotmail.com,221704455173,DPP,SN19101547,19,Ziguinchor,Ziguinchor,urbain,2024-03-30,4.46,150,True
99,Lamine,Diouf,M,laminediouf@outlook.com,221750589060,DPP,SN11117946,11,Saint-Louis,Saint-Louis,urbain,2025-08-20,7.0,300,True
100,Rokhaya,Sy,F,mcisse@orange.sn,221758745713,DPP,SN02857963,2,Dakar,Pikine,urbain,2025-09-02,7.99,250,True
101,Nogaye,Dia,F,nogaye.dia63@orange.sn,221785457132,DPP,SN03448462,3,Dakar,Guédiawaye,urbain,2025-09-29,5.58,150,True
102,Mbagnick,Ndiaye,M,mbagnick.ndiaye84@hotmail.com,221782661966,DPP,SN09387160,9,Diourbel,Touba,urbain,2025-04-03,4.12,300,True
103,Mbaye,Mbaye,M,mcisse@orange.sn,221703492291,DPP,SN09110525,9,Diourbel,Touba,urbain,2025-06-24,4.64,150,True
104,Astou,Toure,F,mcisse@orange.sn,221759257004,DPP,SN18418900,18,Tambacounda,Tambacounda,urbain,2025-09-05,4.32,200,True
105,Maimouna,Wade,F,mcisse@orange.sn,221789224507,DPP,SN08486120,8,Diourbel,Diourbel,urbain,2026-01-02,6.54,200,True
106,Mame,Thiam,F,mcisse@orange.sn,221768254778,DPP,SN19731078,19,Ziguinchor,Ziguinchor,urbain,2024-05-28,6.86,250,True
107,Ablaye,Sène,M,ablaye.sene@gmail.com,221761498886,DPP,SN02281084,2,Dakar,Pikine,urbain,2025-11-16,7.41,150,True
108,Awa,Faye,F,awa.faye@gmail.com,221707104730,DPP,SN02444279,2,Dakar,Pikine,urbain,2024-06-30,5.47,150,True
109,Awa,Thiam,F,mcisse@orange.sn,221750297607,DPP,SN09450326,9,Diourbel,Touba,urbain,2025-05-30,5.94,150,True
110,Ablaye,Toure,M,ablaye.toure5@hotmail.com,221703503257,DPP,SN02129563,2,Dakar,Pikine,urbain,2024-09-11,6.52,150,True
111,Lamine,Diouf,M,ldiouf@hotmail.com,221756812298,DPP,SN03892342,3,Dakar,Guédiawaye,urbain,2024-04-29,5.01,150,True
112,Sokhna,Cissé,F,mcisse@orange.sn,221773628011,PPP,SN15756861,15,Louga,Louga,urbain,2026-02-15,19.41,150,True
113,Astou,Faye,F,mcisse@orange.sn,221761013466,PPP,SN02695852,2,Dakar,Pikine,urbain,2025-08-22,14.17,150,True
114,Moustapha,Bâ,M,mcisse@orange.sn,221701039023,DPP,SN17585403,17,Kolda,Kolda,urbain,2024-08-28,4.77,250,True
115,Mbathio,Sall,F,mbathio.sall@orange.sn,221754118198,PPP,SN09807433,9,Diourbel,Touba,urbain,2024-04-13,17.23,150,True
116,Bineta,Gueye,F,mcisse@orange.sn,221756224762,DPP,SN05372551,5,Thiès,Thiès,urbain,2024-03-22,4.97,150,True
117,Elhadji,Niang,M,eniang@outlook.com,221774775707,DPP,SN09964630,9,Diourbel,Touba,urbain,2025-03-07,6.16,150,True
118,Bineta,Sow,F,mcisse@orange.sn,221751159354,DPP,SN08137934,8,Diourbel,Diourbel,urbain,2025-11-05,7.45,150,True
119,Baye,Sène,M,mcisse@orange.sn,221703806328,DPP,SN16978218,16,Fatick,Fatick,semi_urbain,2025-06-15,3.28,300,True
120,Mariama,Sow,F,mariamasow@gmail.com,221756434303,DPP,SN01180461,1,Dakar,Dakar Plateau,urbain,2025-07-06,4.19,150,True
121,Boubacar,Badji,M,bbadji@gmail.com,221783340111,DPP,SN19780965,19,Ziguinchor,Ziguinchor,urbain,2025-06-03,5.85,150,True
122,Maimouna,Cissé,F,mcisse@orange.sn,221755960429,DPP,SN02429830,2,Dakar,Pikine,urbain,2024-04-27,5.2,150,True
123,Selbé,Diop,F,selbediop@hotmail.com,221780043449,DPP,SN04470381,4,Dakar,Rufisque,urbain,2026-02-12,4.34,250,True
124,Rokhaya,Wade,F,rokhaya.wade61@hotmail.com,221703375474,DPP,SN13724439,13,Kaolack,Kaolack,urbain,2025-03-31,6.72,150,True
125,Khady,Seck,F,mcisse@orange.sn,221783944971,DPP,SN02590900,2,Dakar,Pikine,urbain,2025-09-02,4.86,150,True
126,Alioune,Gueye,M,aliounegueye@yahoo.fr,221754635028,DPP,SN20492871,20,Matam,Matam,semi_urbain,2024-12-13,5.4,150,True
127,Souleymane,Sow,M,mcisse@orange.sn,221756440358,DPP,SN13104504,13,Kaolack,Kaolack,urbain,2024-10-02,5.37,150,True
128,Pape,Ndiaye,M,papendiaye@yahoo.fr,221757895041,DPP,SN19934938,19,Ziguinchor,Ziguinchor,urbain,2024-11-14,4.31,150,True
129,Binta,Cissé,F,bcisse@gmail.com,221779051796,DPP,SN05478297,5,Thiès,Thiès,urbain,2025-11-19,7.06,150,True
130,Baye,Dia,M,mcisse@orange.sn,221781963348,DPP,SN09348628,9,Diourbel,Touba,urbain,2025-08-29,4.76,150,True
131,Ablaye,Sène,M,ablaye.sene@orange.sn,221709877759,DPP,SN05960665,5,Thiès,Thiès,urbain,2025-12-05,5.48,150,True
132,Mbaye,Sène,M,mbaye.sene79@yahoo.fr,221754438108,DPP,SN05669755,5,Thiès,Thiès,urbain,2025-08-20,7.74,150,True
133,Cheikhou,Sylla,M,mcisse@orange.sn,221707034332,DPP,SN06324898,6,Thiès,Mbour,urbain,2024-10-23,7.54,150,True
134,Arame,Sène,F,arame.sene27@yahoo.fr,221775595612,DPP,SN09676775,9,Diourbel,Touba,urbain,2025-12-06,6.75,150,True
135,Alioune,Dieng,M,aliounedieng@orange.sn,221750541030,PPP,SN13462769,13,Kaolack,Kaolack,urbain,2024-04-25,19.87,150,True
136,Amy,Camara,F,amy.camara69@orange.sn,221704063049,DPP,SN09824344,9,Diourbel,Touba,urbain,2025-03-22,5.39,200,True
137,Penda,Diallo,F,mcisse@orange.sn,221755373081,PPP,SN13716324,13,Kaolack,Kaolack,urbain,2025-08-13,16.27,150,True
138,Seynabou,Gaye,F,mcisse@orange.sn,221758210005,DPP,SN13798083,13,Kaolack,Kaolack,urbain,2024-10-30,7.9,150,True
139,Mariama,Fall,F,mariamafall@outlook.com,221773754191,PPP,SN11895545,11,Saint-Louis,Saint-Louis,urbain,2024-10-03,18.58,150,True
140,Yacine,Ndoye,F,yacine.ndoye26@orange.sn,221767633969,DPP,SN01423793,1,Dakar,Dakar Plateau,urbain,2024-04-26,5.8,150,True
141,Rama,Sall,F,ramasall@gmail.com,221789326612,PPP,SN09766613,9,Diourbel,Touba,urbain,2026-01-10,14.17,150,True
142,Pape,Mbaye,M,papembaye@gmail.com,221776300403,DPP,SN02136930,2,Dakar,Pikine,urbain,2025-04-12,6.52,150,True
143,Samba,Seck,M,mcisse@orange.sn,221774440040,DPP,SN17343748,17,Kolda,Kolda,urbain,2024-12-31,4.48,150,True
144,Yacine,Kane,F,yacinekane@gmail.com,221750944870,PPP,SN05897763,5,Thiès,Thiès,urbain,2025-09-11,10.01,250,True
145,Oumou,Seck,F,mcisse@orange.sn,221755618872,DPP,SN02279559,2,Dakar,Pikine,urbain,2025-05-07,6.82,150,True
146,Rokhaya,Toure,F,mcisse@orange.sn,221775504669,DPP,SN07257792,7,Thiès,Tivaouane,semi_urbain,2024-07-04,3.41,150,True
147,Maimouna,Ndiaye,F,maimounandiaye@yahoo.fr,221768314018,DPP,SN11194396,11,Saint-Louis,Saint-Louis,urbain,2024-07-10,5.5,150,True
148,Demba,Ndiaye,M,mcisse@orange.sn,221769198899,DPP,SN13484651,13,Kaolack,Kaolack,urbain,2025-10-18,6.12,150,True
149,Malick,Dia,M,mcisse@orange.sn,221762202615,DPP,SN09696484,9,Diourbel,Touba,urbain,2025-10-21,6.88,150,True
150,Bineta,Thiam,F,mcisse@orange.sn,221771754319,DPP,SN01165015,1,Dakar,Dakar Plateau,urbain,2024-05-16,6.04,150,True
151,Serigne,Sylla,M,serigne.sylla28@orange.sn,221789751757,DPP,SN15761127,15,Louga,Louga,urbain,2026-02-23,4.54,150,True
152,Nogaye,Cisse,F,mcisse@orange.sn,221782831089,DPP,SN06234777,6,Thiès,Mbour,urbain,2024-11-10,6.5,150,True
153,Selbé,Wade,F,selbewade@gmail.com,221764853057,PPP,SN02374549,2,Dakar,Pikine,urbain,2025-05-21,14.43,150,True
154,Souleymane,Seck,M,mcisse@orange.sn,221709267335,DPP,SN02447841,2,Dakar,Pikine,urbain,2025-07-17,4.88,250,True
155,Mbaye,Thiam,M,mbaye.thiam71@orange.sn,221704480231,DPP,SN03588771,3,Dakar,Guédiawaye,urbain,2025-02-22,7.47,150,True
156,Ndèye,Gaye,F,ndeye.gaye@yahoo.fr,221783574124,DPP,SN17962527,17,Kolda,Kolda,urbain,2025-10-17,6.43,150,True
157,Dieynaba,Sall,F,dieynaba.sall89@hotmail.com,221762377836,DPP,SN02618887,2,Dakar,Pikine,urbain,2026-01-14,6.36,150,True
158,Babacar,Sarr,M,babacarsarr@hotmail.com,221777329200,DPP,SN02345871,2,Dakar,Pikine,urbain,2026-01-27,6.27,150,True
159,Khoudia,Thiam,F,mcisse@orange.sn,221761703491,DPP,SN08334251,8,Diourbel,Diourbel,urbain,2024-06-24,6.67,150,True
160,Marème,Samb,F,mareme.samb23@hotmail.com,221759000383,DPP,SN05822948,5,Thiès,Thiès,urbain,2024-06-11,6.37,150,True
161,Selbé,Diop,F,mcisse@orange.sn,221708532187,DPP,SN09273073,9,Diourbel,Touba,urbain,2025-07-30,5.07,200,True
162,Serigne,Diouf,M,sdiouf@gmail.com,221762603911,DPP,SN02592890,2,Dakar,Pikine,urbain,2026-01-19,4.65,150,True
163,Mbagnick,Diallo,M,mbagnickdiallo@orange.sn,221752109796,DPP,SN01800046,1,Dakar,Dakar Plateau,urbain,2025-11-14,7.73,150,False
164,Yacine,Gueye,F,mcisse@orange.sn,221788439882,DPP,SN08753620,8,Diourbel,Diourbel,urbain,2025-01-28,4.16,150,True
165,Binta,Dieng,F,mcisse@orange.sn,221755476392,DPP,SN04293501,4,Dakar,Rufisque,urbain,2025-01-27,4.35,150,True
166,Astou,Diouf,F,adiouf@orange.sn,221751209367,DPP,SN07103925,7,Thiès,Tivaouane,semi_urbain,2025-04-04,5.38,300,True
167,Mame,Sow,F,msow@hotmail.com,221700446705,DPP,SN03451897,3,Dakar,Guédiawaye,urbain,2025-11-19,7.61,150,True
168,Malick,Sall,M,malicksall@outlook.com,221758926224,DPP,SN09264300,9,Diourbel,Touba,urbain,2025-09-04,5.57,150,True
169,Rokhaya,Cissé,F,mcisse@orange.sn,221707306407,DPP,SN19964930,19,Ziguinchor,Ziguinchor,urbain,2024-05-22,5.35,150,True
170,Ablaye,Sène,M,mcisse@orange.sn,221781123338,DPP,SN05106147,5,Thiès,Thiès,urbain,2025-11-09,7.46,150,True
171,Marème,Dieye,F,mcisse@orange.sn,221762424272,DPP,SN09620356,9,Diourbel,Touba,urbain,2024-08-31,4.21,250,True
172,Cheikhou,Sow,M,mcisse@orange.sn,221750804013,DPP,SN09478235,9,Diourbel,Touba,urbain,2025-06-08,4.43,300,True
173,Aissatou,Sène,F,mcisse@orange.sn,221780480387,DPP,SN05156905,5,Thiès,Thiès,urbain,2026-02-12,5.15,150,True
174,Malick,Sylla,M,malick.sylla59@yahoo.fr,221778787601,DPP,SN03657971,3,Dakar,Guédiawaye,urbain,2025-07-28,6.07,150,True
175,Bineta,Sall,F,mcisse@orange.sn,221781816420,DPP,SN02620943,2,Dakar,Pikine,urbain,2025-02-03,4.06,300,True
176,Moussa,Diouf,M,mcisse@orange.sn,221753392572,DPP,SN08369851,8,Diourbel,Diourbel,urbain,2025-03-18,6.62,150,False
177,Ndeye,Ndiaye,F,ndeyendiaye@hotmail.com,221760393689,PPP,SN15499071,15,Louga,Louga,urbain,2024-09-12,12.55,150,True
178,Serigne,Sall,M,serignesall@gmail.com,221705520249,DPP,SN16985057,16,Fatick,Fatick,semi_urbain,2026-02-07,5.23,150,True
179,Amadou,Wade,M,awade@outlook.com,221779620402,PPP,SN09582681,9,Diourbel,Touba,urbain,2025-12-21,16.76,150,True
180,Rama,Thiam,F,mcisse@orange.sn,221761588092,DPP,SN02373475,2,Dakar,Pikine,urbain,2025-04-26,7.57,150,True
181,Lamine,Sylla,M,laminesylla@orange.sn,221706514412,DPP,SN02897593,2,Dakar,Pikine,urbain,2024-11-16,7.33,150,True
182,Ndeye,Sène,F,nsene@yahoo.fr,221752636673,DPP,SN17921491,17,Kolda,Kolda,urbain,2024-11-09,4.33,250,True
183,Sokhna,Badji,F,mcisse@orange.sn,221765057867,DPP,SN15989639,15,Louga,Louga,urbain,2025-10-07,4.9,150,True
184,Daba,Diouf,F,daba.diouf35@hotmail.com,221781410999,DPP,SN11754612,11,Saint-Louis,Saint-Louis,urbain,2024-12-23,7.34,150,True
185,Mame,Ndiaye,F,mndiaye@yahoo.fr,221700450055,PPP,SN13401968,13,Kaolack,Kaolack,urbain,2024-06-13,20.39,150,True
186,Yacine,Thiam,F,mcisse@orange.sn,221752304238,DPP,SN18175171,18,Tambacounda,Tambacounda,urbain,2024-04-13,5.54,150,True
187,Fallou,Toure,M,ftoure@gmail.com,221776361184,DPP,SN09839028,9,Diourbel,Touba,urbain,2025-11-03,7.56,150,True
